,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score  - Prelimiary,Difference,Score - Final
0,0,Intercept,-0.5998187581253326,0.2201602,Intercept,468.9838076005544,469.0,0.016192399445571937,469.0
1,1,grade : A,1.132088160033144,1.938480847320894e-11,grade,63.22336659942053,63.0,-0.2233665994205296,63.0
2,2,grade : B,0.7528666088073983,1.1425730148486569e-07,grade,42.04510151196981,42.0,-0.04510151196981127,42.0
3,3,grade : C,0.5346694503005356,3.622002739526608e-05,grade,29.859514355199817,30.0,0.140485644800183,30.0
4,4,grade : D,0.2731834841269413,0.007936666487166887,grade,15.256390955770557,15.0,-0.2563909557705575,15.0
5,5,grade : E,0.2116804001776389,0.025052596902724097,grade,11.821647831694564,12.0,0.17835216830543565,12.0
6,6,grade : F,0.002482698882462736,0.4422103950642655,grade,0.1386504930829042,0.0,-0.1386504930829042,0.0
7,7,home_ownership : MORTGAGE,-0.06452121766709142,0.2809158818022123,home_ownership,-3.6032958757276474,-4.0,-0.3967041242723526,-4.0
8,8,home_ownership : RENT,0.0007657129175697329,0.9513982946379904,home_ownership,0.042762525222422396,0.0,-0.042762525222422396,0.0
9,9,addr_state : ID_TN_HI_MD_WA_NH,-0.12992273128973203,0.07072179524355919,addr_state,-7.255753359074302,-7.0,0.2557533590743022,-7.0
10,10,addr_state : CA,-0.24458801369302502,2.4707684087909286e-07,addr_state,-13.659428833780472,-14.0,-0.34057116621952765,-14.0
11,11,addr_state : UT_GA_NJ,-0.12569337065720557,0.04328532863487095,addr_state,-7.01955760401619,-7.0,0.019557604016189778,-7.0
12,12,addr_state : OR_KY_NC_SC_MI,0.06800923011700785,0.3056819025127706,addr_state,3.798089795149924,4.0,0.20191020485007583,4.0
13,13,addr_state : MO_OK_VT_MT_MN,0.0036213687498489787,0.962033021357934,addr_state,0.20224142619483282,0.0,-0.20224142619483282,0.0
14,14,addr_state : NY,0.043132828029145434,0.5342393147154565,addr_state,2.4088252975603814,2.0,-0.40882529756038144,2.0
15,15,addr_state : TX_AL_LA_KS_DC_DE_WY_IA_IN_ME,0.23143105309581155,0.00019670264718471802,addr_state,12.92465624933139,13.0,0.0753437506686101,13.0
16,16,purpose : renewableEnergy_educational_house,0.3813883645269128,0.0018009101653281134,purpose,21.299274419169347,21.0,-0.29927441916934683,21.0
17,17,purpose : other,0.5218535216559508,6.241293451444087e-11,purpose,29.143787273498972,29.0,-0.14378727349897247,29.0
18,18,purpose : debt_consolidation,0.7347498409651607,7.5725633035234665e-28,purpose,41.03334015333777,41.0,-0.033340153337768186,41.0
19,19,purpose : medical_moving,0.5272807578152434,1.594990142022943e-06,purpose,29.446880401255513,29.0,-0.44688040125551254,29.0
20,20,purpose : homeimprovement_vacation_car,0.8038654158328405,3.5321123822112176e-23,purpose,44.89321563111071,45.0,0.10678436888929355,45.0
21,21,purpose : wedding_majorpurchase,0.935823926689795,3.97535253606061e-24,purpose,52.26266052273345,52.0,-0.262660522733448,52.0
22,22,purpose : credit_card,0.9651022867991177,2.8815485564450766e-32,purpose,53.8977597667423,54.0,0.10224023325770304,54.0
23,23,verification_status : Not Verified,0.04921492421215516,0.19494720716986247,verification_status,2.7484901843127543,3.0,0.25150981568724573,3.0
24,24,term_int : 36,0.0,0.00678608787610992,term_int,0.0,0.0,0.0,0.0
25,25,emp_length_int : 0,-0.4977084469878888,5.833849042855101e-07,emp_length_int,-27.795364985198944,-28.0,-0.20463501480105606,-28.0
26,26,emp_length_int : 2-4,0.03826820783619338,0.4758183394666934,emp_length_int,2.1371524043318653,2.0,-0.13715240433186526,2.0
27,27,emp_length_int : 5-7,-0.02531183516270949,0.6156789919557181,emp_length_int,-1.4135819897182154,-1.0,0.41358198971821536,-1.0
28,28,emp_length_int : 8-9,0.025543575587873447,0.7710694554605453,emp_length_int,1.4265239233708185,1.0,-0.42652392337081846,1.0
29,29,emp_length_int : >10,0.1373579151119755,0.011119572629533425,emp_length_int,7.670983699893359,8.0,0.32901630010664107,8.0
30,30,mnths_since_issue_d : 149-154,0.09450394566805669,0.07795231536097294,mnths_since_issue_d,5.277731728850818,5.0,-0.2777317288508181,5.0
31,31,mnths_since_issue_d : 154-160,0.11525298010080809,0.019927124680315576,mnths_since_issue_d,6.436496440679829,6.0,-0.4364964406798286,6.0
32,32,mnths_since_issue_d : 160-167,0.12680697929590587,0.013449081195876107,mnths_since_issue_d,7.081748950678424,7.0,-0.08174895067842414,7.0
33,33,mnths_since_issue_d : 167-175,0.2784724926012351,1.0838520233979315e-05,mnths_since_issue_d,15.55176452606558,16.0,0.4482354739344192,16.0
34,34,mnths_since_issue_d : 175-183,0.38024726412057125,1.3386845006823436e-06,mnths_since_issue_d,21.23554774852316,21.0,-0.2355477485231603,21.0
35,35,mnths_since_issue_d : >183,0.031351884650645326,0.5568549628321716,mnths_since_issue_d,1.7508987080939553,2.0,0.2491012919060447,2.0
36,36,mnths_since_earliest_cr_line_factor : 194-213,-0.08002285035538698,0.4402067510470574,mnths_since_earliest_cr_line_factor,-4.469010615039979,-4.0,0.4690106150399789,-5.0
37,37,mnths_since_earliest_cr_line_factor : 213-270,-0.06870481629244032,0.4180117749446065,mnths_since_earliest_cr_line_factor,-3.8369359745583975,-4.0,-0.16306402544160248,-4.0
38,38,mnths_since_earliest_cr_line_factor : 270-366,-0.30829819007147047,0.08664036614764005,mnths_since_earliest_cr_line_factor,-17.217430745195454,-17.0,0.21743074519545402,-17.0
